Pt,rand-miR-101,rand-miR-102,rand-miR-103,rand-miR-104,rand-miR-105,rand-miR-106,rand-miR-107,rand-miR-108,rand-miR-109,rand-miR-110,rand-miR-111,rand-miR-112,rand-miR-113,rand-miR-114,rand-miR-115,rand-miR-116,rand-miR-117,rand-miR-118,rand-miR-119,rand-miR-120,rand-miR-121,rand-miR-122
1,0.091,2.06,2.657,0.285,3.176,2.489,6.022,8.148,6.733,7.472,2.317,3.348,9.709,3.897,5.169,9.909,6.152,4.529,7.107,3.975,1.963,2.496
2,8.586,2.664,9.855,5.289,5.429,6.213,0.453,5.974,4.076,3.78,7.782,2.841,7.289,2.893,2.994,7.464,1.288,1.47,8.598,0.21,7.251,4.248
4,8.742,0.915,1.776,0.74,7.295,2.429,2.341,3.557,3.023,0.316,8.377,9.245,3.014,6.545,0.442,4.627,5.909,7.674,3.593,2.278,4.945,9.178
8,2.663,8.769,8.02,2.036,9.055,8.307,4.359,0.614,2.032,6.493,6.213,0.446,5.768,7.977,1.16,5.664,1.333,5.137,1.781,1.977,0.052,0.798
10,1.279,1.186,5.834,9.521,7.837,6.804,4.315,8.484,2.173,5.457,2.51,3.9,1.401,8.37,0.048,5.81,0.51,7.604,7.247,4.51,3.975,5.042
13,1.756,0.25,9.851,2.075,0.778,3.388,4.402,2.146,3.13,5.265,8.028,8.078,8.319,7.294,2.353,3.206,5.48,9.75,1.711,0.682,7.362,7.513
14,2.036,1.57,9.056,9.459,9.743,9.585,7.344,3.087,7.838,0.484,7.264,6.894,5.377,2.235,7.359,4.453,8.479,1.618,8.604,5.07,5.596,6.815
15,7.769,6.687,9.93,5.863,9.923,8.23,3.494,8.709,6.545,2.927,2.903,4.011,4.548,0.421,4.085,2.793,2.564,5.154,2.744,7.258,2.688,7.631
16,9.745,6.679,5.376,6.571,7.631,7.152,2.46,2.485,6.849,1.203,1.657,7.654,5.838,7.841,3.28,1.296,5.27,6.901,9.982,7.929,7.804,3.248
17,5.508,4.226,3.994,0.091,1.901,4.087,9.44,8.863,6.427,2.568,7.778,3.511,8.435,7.252,9.988,6.886,9.338,2.615,5.824,6.726,3.954,7.65
18,3.723,7.573,3.59,3.713,8.782,8.37,9.053,8.698,8.302,7.874,1.121,1.447,9.309,7.979,0.374,9.009,1.279,7.555,5.884,9.245,0.083,5.577
19,4.545,5.871,9.703,3.84,8.679,6.647,5.383,4.663,6.92,0.501,0.086,6.671,8.545,7.801,8.682,6.018,4.703,8.754,5.268,3.417,8.682,1.888
22,6.007,6.854,4.117,9.918,2.019,8.746,1.958,0.618,0.768,7.193,0.952,8.227,4.701,6.669,7.027,4.66,1.011,2.65,3.187,8.304,3.644,0.409
24,1.124,8.348,2.947,7.506,4.149,7.413,8.349,6.416,9.269,2.113,2.148,7.343,1.941,3.936,9.935,9.513,3.71,0.703,8.535,6.123,6.623,0.733
26,2.978,4.495,5.597,0.093,0.299,2.346,9.101,4.349,6.562,8.793,0.208,2.436,0.868,3.862,4.793,0.572,8.354,1.48,8.554,0.643,8.566,4.159
28,8.558,8.828,8.82,3.477,5.461,3.346,0.015,1.716,3.26,3.535,0.732,9.618,3.014,1.569,2.051,8.921,8.765,4.242,0.445,9.873,6.185,7.794
29,8.798,5.03,7.888,4.255,6.546,0.827,4.562,1.046,7.168,3.195,5.391,3.218,5.063,7.193,7.744,1.948,1.393,1.995,8.477,6.944,0.576,2.928
31,3.221,6.474,4.368,8.275,8.861,8.915,8.094,5.486,7.003,7.321,2.506,3.245,0.679,9.004,6.541,8.758,5.698,1.631,6.098,7.403,9.324,5.064
32,3.517,6.276,0.852,2.874,2.796,9.407,9.531,0.023,1.975,8.234,2.886,7.017,1.851,9.261,8.773,9.063,7.554,8.065,2.126,1.746,7.198,9.655
36,5.55,7.779,5.132,2.397,6.24,5.759,3.513,7.511,3.228,1.942,6.492,0.733,3.342,9.614,9.02,6.059,3.507,5.461,9.242,6.641,9.51,7.34
39,9.113,4.865,0.675,8.745,6.099,3.197,8.318,7.141,6.905,8.152,2.692,7.375,2.082,7.899,9.216,6,6.024,0.429,6.946,1.852,4.095,5.995
40,0.711,9.733,2.271,4.32,1.191,3.689,5.983,8.369,2.607,1.08,2.82,4.461,0.976,0.221,6.56,0.09,5.681,0.017,6.955,9.202,0.795,4.736
43,8.408,0.088,0.606,6.474,0.985,7.235,4.423,2.261,4.113,9.791,6.916,2.951,6.33,0.745,3.043,4.874,9.425,7.726,2.862,7.631,2.962,0.974
44,0.984,3.184,5.742,1.513,5.439,2.208,7.976,9.941,8.737,8.992,8.551,7.991,6.491,8.317,4.162,9.081,0.773,7.517,5.064,2.512,9.918,8.022
