Gene,ALDH2,RYR2,AUH,SOCS2,ADRA1A,SYT12,COL14A1,CLCN3,ATP2A2,NPPA,DMD,CPEB3,SH2D4A,COL3A1,MID1IP1,TIMP1,ACSL1,ART3,BBS2,PFKM,ACTC1,MUT,CASQ1,IGF1,SESN1,GRK5,MCCC1,RCAN1,MYH7,GPRC5B,AQP7,ITGA7,MYH6,COL1A1,UCK2,PLN,ASPN,GAB1,LEPREL1,EDN1,SERPINE2,NPPB,TMED2,ITGB6,GSTZ1,LOXL1,SYNJ2,ASB5,DECR1,MYLK4,FHL1,LRP8,ANO5,LOX,ATRNL1,PKIA,CLCN5,GOLIM4,ADRB1,PRSS23,NUDT5,SLC9A1,TUBA4A,NNT,TMEM182,COL1A2,GPR133,ACADM,FN1,ACTA1,B3GALT2,MYL3,RAB3IP,CMKLR1,HSP90B1,GARS,PDHX,HEXB,SLC41A1,ADK,MYOF,AS3MT,ADRB2,RRM2B,CCDC80,TNNI3
1,0.956144122,1.065329709,0.898568255,1.09988295,1.136273396,1.032162413,1.361889829,0.848255039,0.902513239,0.5498843,0.896639524,0.932916588,1.139104418,1.470401354,1.385215081,1.342293352,1.064001364,0.965333934,1.026404926,0.898319154,0.985002984,0.857637563,1.001005569,1.529287868,1.17863744,0.968638331,0.795205698,0.812657865,0.819831882,0.915384647,1.111031715,0.652812234,0.689632658,1.325282573,1.101324794,0.980371194,1.644512529,1.030475354,0.846657279,1.512955967,1.839393312,0.659936903,1.260468443,0.892398504,0.791740743,1.225720466,1.086350764,0.73989887,0.97542307,0.581870496,1.134612765,0.701623999,0.811745845,1.297963667,0.835597453,1.026689546,1.120210612,0.774410275,1.372532204,2.018355075,1.970511269,0.937876587,1.361125411,1.054610306,0.874602877,1.54330157,0.617747854,0.816089904,1.211681059,0.869465085,0.84739117,0.989313727,1.11198706,1.563327458,0.99986138,1.097027735,0.846099947,1.195571159,0.953364625,0.713047455,1.211958249,0.726885484,0.847538024,0.738500089,1.522560969,1.083876214
3,0.863100223,0.915289477,1.02562263,1.313476146,0.443024995,1.026888826,2.165259593,0.935642954,0.862729384,3.729545946,1.10357142,0.813046629,0.93831875,1.680848854,0.52719186,1.342023561,0.820002379,1.037995364,1.039363283,0.863938187,1.144486147,1.231818756,1.066593174,1.268171623,0.78726432,1.022988552,0.866276809,1.205874694,0.927230546,0.840430253,0.711087992,1.178049369,1.154445447,1.535884789,1.808658459,0.977656793,1.731989279,1.078921574,1.411491069,1.466259037,2.88737802,8.893861879,0.605857327,0.966599397,1.175594081,1.254784836,1.028406048,1.623671751,0.852634892,1.019498745,1.081549728,1.330104873,1.051245773,1.426015833,0.977013228,0.917385494,1.2888997,1.234340136,0.659324227,1.681314949,1.223640701,0.833462965,1.002151066,0.926459618,0.668004627,1.749108761,0.835041614,1.047608739,1.582790158,1.066733651,0.555438852,0.927359097,0.943307472,1.25422832,0.939848419,0.957404173,1.073855593,1.448339682,0.859339431,0.851849222,0.798353722,0.878734962,0.849502442,1.131330146,1.618514174,0.973531793
4,1.142108727,1.223742485,0.954157941,0.739565587,1.270705757,0.874718068,1.207212793,1.160880926,1.096389183,0.410342361,0.92630551,1.433915491,0.949118416,1.403549553,1.618783445,0.954951918,1.444229483,2.448248499,0.995918783,1.154845616,1.062232812,1.001949642,0.52951006,1.276196073,1.206393031,0.656970274,0.87175824,0.510074541,1.005281818,1.214127557,1.412352298,0.725083978,1.142504621,1.300557333,0.82882533,1.220269664,1.02048148,1.010486467,0.6341957,0.616481711,0.812038481,0.185681244,1.199671987,1.262225785,0.61195183,0.658433662,0.962194195,1.172721142,1.168777249,2.142551675,0.95323247,0.781214158,1.216385058,0.738914836,0.357290634,1.268567248,0.837690954,0.797065395,1.674836193,1.168777249,1.065278021,0.769519612,0.743291492,1.044092839,1.45771633,1.50503809,1.173941079,1.182549029,0.983079504,0.777492142,1.544981968,1.070882357,0.933725248,0.872719537,0.922614582,0.786816981,0.992198031,0.795095467,1.256926248,0.953291938,1.371257964,1.244011653,1.358467452,1.157955651,1.09186917,0.935818075
5,0.95707242,0.837406488,1.10060745,0.740760974,0.529399963,0.951674421,1.294962212,0.823807976,1.173030073,2.264354752,1.02705255,0.816344496,1,1.13816522,1.103938651,1.558329159,1.111493876,1.424346349,1.156928735,0.891743067,1.035336685,0.897609593,1.399129984,0.901219228,0.975152663,0.820781432,0.782682992,0.886480008,1,0.937324177,0.673803581,1.0608495,1.350131566,1.015337949,1,0.984661667,1.136840613,0.907481413,0.825763182,1.322172121,1.458272162,1.967004148,1.04900387,1.628687706,1,0.829676024,0.982997737,2.038997491,0.903564816,1.027878684,1.06422264,1.033493991,1.136895774,0.92416349,0.981431852,1.072962757,1.02397465,0.837992943,1.625518528,0.847714283,1.183500241,1.097210246,1.461348226,0.99120131,1.103104907,1.073252847,1.554057625,1.100226075,1.194709614,1.0334725,1.081999626,0.977047089,0.736925152,0.93978979,0.787378923,1.067103417,0.822792187,1,0.907016059,0.898786276,1.457342525,0.949737023,1,1.117263905,0.724119647,0.970769038
6,1.081399804,1.000554672,0.946385582,0.787460793,0.929405444,1.143827899,1.170512223,0.99365711,1.078884182,0.623214195,0.806742407,0.943660617,1.125815175,0.959563376,1.436681237,1.231827294,1.316858197,1.291636397,0.988765287,1.044490956,0.907707888,1.016203966,0.815858012,1.506843931,1.018114627,1.138946515,0.931934199,0.885104683,0.945664274,0.968598048,1.108493261,0.946451183,0.910417377,0.997079193,1.189058751,1.055626886,1.24950788,1.100111688,0.862837031,0.547180984,1.18327877,0.717822973,1.129817694,0.91625432,0.970829599,1.064458718,1.092845912,0.903746462,0.955349154,0.849838142,1.272971394,0.857387922,1.008981694,1.293849667,1.281230458,1.113267276,0.899409483,1.103020803,1.0691246,0.789198435,1.157474171,1.03089686,0.922742493,0.955693559,1.047318321,1.257954726,0.911282331,1.032326978,0.94226189,0.940826108,0.876605721,0.955282936,0.970049317,1.247093816,0.908274323,0.913958143,0.974206828,0.991166959,0.984184022,0.962247551,1.07973704,0.823819397,0.97115939,0.97685071,1.762227274,0.959862726
8,0.911427623,0.911553982,0.820343479,1.147329678,1.213774149,0.841782837,1.956628688,0.989190301,0.983645244,1.171697375,0.897105772,1.208711552,1.232262828,2.126439782,1.082689832,1.399197872,1.081549728,0.853912411,0.896390957,0.892918249,1.097179826,0.770410889,0.792822604,2.46143561,0.954885728,0.836948061,0.87751762,0.894634314,0.902500727,0.985952467,0.818866402,0.816972827,0.902000414,2.271286974,1.060121779,1.096571589,2.092735527,1.011874242,0.98592513,0.882513345,2.293752929,0.751580739,1.327498288,1.03857111,1.071520907,1.495688766,0.947376637,0.829693276,0.954488685,1.588824748,0.705686834,1.128283802,1.08244971,1.639618303,0.848884395,0.996056856,1.179511921,1.03595404,1.394134739,1.087247205,0.910966559,0.76674566,1.014100054,0.91834618,1.124902529,2.188890826,0.840261332,1.030468211,1.361059371,0.981867326,1.337408322,0.99819944,0.951773374,1.162571946,1.050881502,0.930127244,1.042971691,0.908967111,0.979691888,0.855618748,1.369073594,1.003471749,0.824710682,0.996201853,1.847660895,0.99151053
10,0.987806249,1.062380079,0.986095993,1.042263457,1.011944382,1.137352927,1.064399693,0.994745933,0.919142211,1.213521778,0.957928578,1.040747433,0.884693728,1.150196219,0.814264833,1.015295723,0.744013137,0.848037519,0.910228081,0.947764153,1.006676401,0.931030283,0.923760011,1.037197044,1.014803218,1.064709609,1.044201401,0.937324177,1.008003047,1.26637967,0.95707242,1.010199337,0.864836909,1.625698813,1.14415301,0.975490684,1.101126333,0.908368763,1.175382236,1.931819096,1.081354831,1.403860905,1.188704401,0.927751285,0.810076466,1.205707536,0.954224081,0.839487064,0.94128271,0.680557988,1.134848725,0.926755065,0.962861368,1.286819765,1.36784997,0.995573683,0.977162226,1.037686032,0.685614725,1.307879839,1.202160898,1.377220919,1.181729633,1.093436924,0.938806672,1.45072091,0.740540221,0.996264001,1.028427434,1.199638726,0.765885165,0.965267025,1.022641161,0.972654947,0.970230878,1.112264572,0.99660934,0.961194301,0.995642693,0.956270052,0.848019885,0.980167353,0.681374565,0.975470399,0.911364449,0.993574464
13,0.922934392,0.866216765,0.912375746,1.013854062,0.831622098,0.997784387,1.575860687,0.767181587,1.00639733,1.5873277,0.961854114,0.933485812,1.086757461,1.673814905,0.959363861,2.173168439,0.763605818,0.709748598,1.058044275,0.90463016,1.035408452,0.952631395,1.382059761,1.97283459,0.998130253,1.01287771,0.951318276,0.914465089,0.978809494,0.89485138,0.779921053,1.058557766,0.979080915,1.820582351,1.133347281,0.889458994,1.388387229,0.922678535,1.127759938,1.120140731,2.153196522,1.912818515,0.958247344,0.966585997,1.090968918,2.368690986,1.065270637,1.004529547,0.920634237,0.858874951,0.8272527,1.298602597,0.971509494,1.366030788,1.051952819,0.965534691,1.291663256,0.927892771,0.676245972,1.932984407,1.207815423,1.275232232,0.840546769,0.863513118,0.846997725,1.916853394,0.858761846,0.909156145,1.72876288,0.992473165,0.79636405,0.939848419,0.99837243,1.459323771,1.084327079,1.029611448,0.990205591,1.000970877,1.00583942,0.858053792,0.999882172,0.926523838,0.873076515,0.89290587,2.017823519,0.995573683
14,1.004445996,1.082674823,1.078031998,0.807257027,1.29041937,1.078570141,0.941041335,1.087533619,0.895254642,1.369168494,1.121935704,1.023619829,0.917557198,0.989444026,1.114579868,0.79874118,1.095659865,1.272177521,0.972250516,0.965802431,1.104351932,1.031804755,0.728312747,1.142306657,0.957337813,0.864645103,1.105270888,1.117844877,0.965534691,1.01545056,0.916559218,0.92947631,0.81722203,1.143320593,1.093838692,1.142900651,0.760658077,0.92565725,0.874645314,1.024997222,0.904097331,4.348657239,1.241573784,1.077598688,0.814970645,0.842711081,0.981840103,1.017035473,1.104658166,1.236772375,1.039651496,1.069917829,1.178131028,0.903076432,0.691197546,1.165702788,1.061879455,0.884804115,1.316940349,0.813559631,0.926401825,0.933874118,1.169101347,1.051486261,0.939783276,0.922314063,0.81053141,1.172428546,0.906745761,1.045070305,0.936986392,1.031468669,1.124793373,0.976322714,1.003054503,0.886504586,0.917258326,0.883743743,1.084853325,1.01621101,1.253680739,0.989245155,1.08126489,0.92766769,0.56813276,1.015154983
15,1.089978743,0.966271155,1.078629951,1.434949535,1.554240758,0.885534242,0.916305129,1.206225801,1.285117257,8.847071606,0.947790431,1.282412151,1.162926566,1.604851713,1.206393031,1.168777249,1.127947563,0.849037394,1.111031715,1.071773463,0.956077849,1.069317293,1.179340243,1.400993245,0.865136691,1.002602683,0.920506619,1.081902132,0.999307093,1.249897683,0.778031246,1.020375384,0.802069968,1.404405937,1.5947718,1.045070305,1.883557401,1.025224599,1.570539252,1.226689398,1.534714182,22.97829742,2.063523688,0.763410005,0.826771177,1.879814104,1.042624741,0.768144694,1.024414799,0.849043279,1.401818919,1.641426329,1.053799208,1.199963065,1.380269516,0.971576836,1.039925372,1.167554585,0.934262586,0.919881545,1.239553036,1.117813884,0.842705239,1.26496722,1.413096509,1.576406934,0.729277607,1.053872254,1.092936816,1.177641159,0.990960873,0.989656656,0.956197143,0.924349277,0.955547834,0.813379198,0.99660934,0.946779255,1.151408685,0.908186187,0.894913409,1.005072798,0.830683037,0.892008894,1.273854057,0.943503647
