Pat,946700,946701,946702,946703,946704,946705,946706,946707,946708,946709,946710,946711,946712,946713,946714,946715,946716,946717,946718,946719,946720,946721,946722,946723,946724,946725,946726,946727,946728,946729,946730,946731,946732,946733,946734,946735,946736,946737,946738,946739,946740,946741,946742,946743,946744,946745,946746,946747,946748,946749,946750,946751,946752,946753,946754,946755,946756,946757,946758,946759,946760,946761,946762
AGBL5,6.45,6.6,6.54,6.48,6.22,6.21,6.76,6.48,6.77,6.36,6.32,6.09,6.51,6.46,6.75,6.53,6.61,6.58,6.54,6.67,6.62,6.53,6.42,6.72,6.24,6.55,6.58,6.62,6.69,6.57,6.38,6.53,6.38,6.55,6.38,6.53,7.07,6.43,6.1,6.36,6.54,6.46,6.55,6.53,6.37,6.54,6.36,6.21,6.44,6.59,6.32,6.5,6.86,6.63,6.54,6.53,6.63,6.67,6.45,6.67,6.5,6.03,6.52
AGTPBP1,7.49,7.34,7.49,7.74,7.45,7.83,7.73,7.58,7.79,7.56,7.28,7.18,7.29,7.71,7.47,7.82,7.7,8.05,7.59,7.48,7.64,7.76,7.39,7.75,7.64,7.49,7.94,7.48,7.24,7.48,7.3,7.51,7.83,7.94,7.47,7.51,8.13,7.7,7.4,7.39,7.51,7.83,7.6,7.58,7.29,7.47,7.44,7.43,7.56,7.8,7.41,7.49,7.68,7.57,7.94,7.69,7.48,7.48,7.37,7.6,7.35,7.08,7.67
ARG2,7.98,7.96,7.49,8.08,7.25,8.3,7.47,7.93,7.94,7.94,7.33,6.1,7.43,8.41,7.42,8.43,7.74,9.17,7.67,7.56,8.13,9.03,7.8,7.88,6.35,7.26,8.27,7.82,7.1,7.87,7.79,8.1,7.75,8.4,7.61,7.13,8.47,8.07,7.15,7.25,7.89,8.27,8.07,8.43,6.76,7.22,7.76,7.31,7.64,8.7,8.03,7.97,7.56,9.48,8.75,7.91,7.56,7.55,7.04,7.57,6.93,6.66,8.1
ASAM,7.12,6.54,7.02,6.67,7.46,8.36,6.98,7.11,7.23,7.11,7.75,8.82,7.34,7.67,6.58,6.64,6.92,7.18,7.21,6.7,6.76,6.08,7.68,6.61,7.49,8.66,6.71,7.36,6.86,7.42,7.45,6.8,7.63,6.41,7.19,7.92,7.07,6.96,8.37,7.92,6.61,6.57,7.01,6.7,8.29,6.94,7.88,6.86,7.07,6.85,7.7,7.19,7.39,6.82,6.58,8,5.97,6.98,7.15,7.05,8.14,7.52,7.3
BDKRB1,7.27,7.05,7.41,6.68,7.18,5.76,7.02,6.2,7.15,6.89,7.8,8.28,7.4,7.15,6.61,6.79,6.64,5.53,6.88,6.6,6.24,6.19,7.4,7.13,7.27,9.04,6.56,6.84,6.78,6.63,6.64,6.6,7.22,6.52,6.46,7.65,5.9,6.31,6.69,8.24,7.14,6.7,5.83,6.43,7.93,7.37,7.82,7.28,7.02,6.28,6.52,6.64,7.87,6.16,6.81,7.39,6.28,6.65,7.49,6.24,7.24,7.79,6.79
CAPN13,7.6,7.08,7.07,7.8,6.53,7.97,6.7,8.11,6.71,7.15,7.24,5.61,6.17,8.17,6.92,7.03,8.12,7.49,7.71,8.06,8.32,7.4,6.87,7.39,6.55,6.81,6.81,7.79,6.81,8.24,7.63,7.19,7.37,8.58,7.67,6.91,6.91,7.18,6.68,7.23,6.83,7.66,8.11,8,5.98,6.51,6.72,6.8,7.61,7.83,7.12,7.91,7.27,7.19,7.89,7.11,7.04,7.95,6.96,7.35,6.34,6.08,7.83
CCL22,5.93,5.78,6.04,5.57,6.1,6.02,6.07,6.26,5.44,6.37,6.81,6.86,5.71,6.29,5.83,5.37,5.66,5.94,5.41,5.98,5.51,5.95,5.95,5.81,5.17,5.72,5.77,6.04,5.71,6.25,6.6,5.81,6.02,5.17,5.72,6.15,5.83,6.23,6.34,5.94,5.79,5.55,5.97,5.64,6.33,6.14,6.21,5.98,6.25,5.82,6.01,5.95,5.84,5.49,5.15,5.91,5.85,5.68,6.18,5.45,6.23,6.76,6.15
CD86,4.59,4.3,4.18,4.53,4.17,5.08,4.73,4.93,4.32,4.83,5.37,5.09,4.36,4.64,4.37,4.52,4.04,5.15,4.4,4.24,4.46,4.57,5.28,5.15,4.07,4.26,4.96,4.62,4.2,4.65,4.85,4.38,4.81,4.51,4.06,5.42,4.38,4.61,5.11,5.07,4.29,4.43,4.32,4.23,4.92,4.49,4.91,4.94,4.2,4.49,4.59,4.89,4.12,4.35,4.49,4.36,4.49,4.37,4.5,4.19,4.66,4.99,5.1
CDK8,8.57,8.42,8.99,8.68,8.42,8.6,8.89,8.9,8.7,8.77,8.12,8.72,8.62,8.9,8.61,8.78,8.76,8.54,8.79,8.8,9,8.95,8.68,8.69,8.61,8.47,8.93,8.71,8.54,8.75,8.26,8.61,8.68,8.93,8.69,8.29,8.78,8.71,8.31,8.76,8.62,8.83,8.85,8.79,8.56,8.74,8.64,8.55,8.43,8.94,8.76,8.9,8.47,8.51,9.03,8.6,8.65,8.72,8.6,8.43,8.5,8.28,8.51
